MES,SENADOR,TIPO_DESPESA,CNPJ_CPF,FORNECEDOR,DOCUMENTO,DATA,DETALHAMENTO,VALOR_REEMBOLSADO,COD_DOCUMENTO
2,ACIR GURGACZ,divulgação da atividade parlamentar,37.153.908/0001-45,JANAINA NUNES DE OLIVEIRA,000000000000067/A,2022-02-14,despesa com divulgação da atividade parlamentar,1000,2174980
2,ACIR GURGACZ,divulgação da atividade parlamentar,37.153.908/0001-45,JANAINA NUNES DE OLIVEIRA,000000000000071/A,2022-02-28,divulgação da atividade parlamentar no site o observador,1000,2175731
2,ACIR GURGACZ,divulgação da atividade parlamentar,23.652.846/0001-01,ROBERTO GUTIERREZ DA ROCHA M.E.I.,191,2022-02-21,despesa com divulgação da atividade parlamentar,1000,2174985
2,ACIR GURGACZ,divulgação da atividade parlamentar,08.941.827/0001-01,RONDONIA DINÂMICA COM. E SERV. DE INFORMÁTICA LTDA,000000000001797/A,2022-02-21,divulgação da atividade parlamentar,1000,2174984
2,ACIR GURGACZ,divulgação da atividade parlamentar,30.637.754/0001-18,RUBENS COITINHO DOS SANTOS,000000000000578/A,2022-02-23,divulgação da atividade parlamentar,1000,2175728
2,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,XIEAJP,2022-02-05,"companhia aérea: gol, localizador: xieajp. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 1182 - grucac - 09/02/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 1475 - bsbgru - 09/02/2022;",1895,2174224
2,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,ZOJPQP,2022-02-05,"companhia aérea: latam, localizador: zojpqp. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3117 - nvtbsb - 07/02/2022;","2296,42",2174223
2,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,MIMSDC,2022-02-09,"companhia aérea: latam, localizador: mimsdc. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3117 - nvtbsb - 14/02/2022;","2333,82",2174979
2,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,VTNIDU,2022-02-17,"companhia aérea: gol, localizador: vtnidu. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 1278 - cghnvt - 18/02/2022;","1817,19",2174983
2,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,KD7YSI,2022-02-23,"companhia aérea: azul, localizador: kd7ysi. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4680 - cgbjpr - 05/03/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4162 - cwbcgb - 05/03/2022;",2530,2175726
3,ACIR GURGACZ,"aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.",004.948.028-63,GILBERTO PISELO DO NASCIMENTO,003/22,2022-03-01,despesa com aluguel de imóvel para uso do escritório de apoio do senador acir gurgacz em ji-paraná/ro.,6000,2175736
3,ACIR GURGACZ,divulgação da atividade parlamentar,08.742.048/0001-87,CMP COMUNICAÇÃO E ASSESSORIA LTDA -ME,000000000005041/A,2022-03-09,despesa com divulgação da atividade parlamentar no site rondoniaovivo.com,1000,2176690
3,ACIR GURGACZ,divulgação da atividade parlamentar,26.320.603/0001-64,INFORMANAHORA,000000000000353/A,2022-03-07,despesa com divulgação da atividade parlamentar no website www.informanahora.com,1500,2175744
3,ACIR GURGACZ,divulgação da atividade parlamentar,26.320.603/0001-64,INFORMANAHORA,000000000000362/A,2022-03-23,despesa com divulgação da atividade parlamentar no website www.informanahora.com,1500,2177635
3,ACIR GURGACZ,divulgação da atividade parlamentar,41.845.127/0001-99,J. J. M. CALADO EIRELI,23,2022-03-04,despesa com divulgação da atividade parlamentar,1000,2175740
3,ACIR GURGACZ,divulgação da atividade parlamentar,37.153.908/0001-45,JANAINA NUNES DE OLIVEIRA,000000000000079/A,2022-03-30,despesa com divulgação da atividade parlamentar no site o observador,1000,2177637
3,ACIR GURGACZ,divulgação da atividade parlamentar,13.659.201/0001-47,LINHA PURPURA FOTO E VIDEO LTDA,123,2022-03-04,despesa com produção de texto e edição de vídeo para divulgação da atividade parlamentar,6000,2175738
3,ACIR GURGACZ,divulgação da atividade parlamentar,30.637.754/0001-18,RUBENS COITINHO DOS SANTOS,000000000000595/A,2022-03-31,despesa com divulgação da atividade parlamentar,1000,2177640
3,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.010.040/0025-81,PIONEIRO COMBUSTIVEIS LTDA,000001156,2022-03-08,despesa com aquisição de combustível para abastecimento de aeronave,2860,2176688
3,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.010.040/0025-81,PIONEIRO COMBUSTIVEIS LTDA,000001178,2022-03-25,despesa com combustível para abastecimento de aeronave,2860,2177636
3,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.010.040/0025-81,PIONEIRO COMBUSTIVEIS LTDA,000001183,2022-03-30,despesa com aquisição de combustível para abastecimento de aeronave,"2888,6",2178312
3,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.707.538/0001-20,YURI COMÉRCIO DE COMBUSTÍVEIS LTDA,000.012.204,2022-03-10,despesa com aquisição de combustível para abastecimento de aeronave,4260,2176692
3,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.707.538/0001-20,YURI COMÉRCIO DE COMBUSTÍVEIS LTDA,000.012.228,2022-03-22,despesa com aquisição de combustível para abastecimento de aeronave,2840,2176697
3,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.707.538/0001-20,YURI COMÉRCIO DE COMBUSTÍVEIS LTDA,000.012.229,2022-03-22,despesa com aquisição de combustível para abastecimento de aeronave,6390,2176699
3,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.707.538/0001-20,YURI COMÉRCIO DE COMBUSTÍVEIS LTDA,000.012.250,2022-03-30,despesa com aquisição de combustível para abastecimento de aeronave,2840,2179375
3,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,UCEEMW,2022-03-03,"companhia aérea: latam, localizador: uceemw. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3379 - pvhbsb - 09/03/2022;","896,12",2176687
3,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,QIAEXV,2022-03-15,"companhia aérea: latam, localizador: qiaexv. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3378 - bsbpvh - 17/03/2022;","2959,12",2176693
3,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,KVXLCF,2022-03-18,"companhia aérea: latam, localizador: kvxlcf. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3378 - bsbpvh - 24/03/2022;","1008,82",2177633
3,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,KTVQHY,2022-03-18,"companhia aérea: azul, localizador: ktvqhy. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3379 - pvhbsb - 21/03/2022;","3547,23",2176694
4,ACIR GURGACZ,"aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.",004.948.028-63,GILBERTO PISELO DO NASCIMENTO,004/22,2022-04-01,despesa com pagamento de aluguel de imóvel para uso do escritório de apoio do senador acir gurgacz em ji-paraná,6000,2177655
4,ACIR GURGACZ,"contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar",13.659.201/0001-47,LINHA PURPURA FOTO E VIDEO LTDA,126,2022-04-01,despesa com edição de vídeo e produção de textos para divulgação de atividade parlamentar,6000,2177653
4,ACIR GURGACZ,divulgação da atividade parlamentar,08.742.048/0001-87,CMP COMUNICAÇÃO E ASSESSORIA LTDA -ME,000000000005099/A,2022-04-01,despesa com divulgação da atividade parlamentar no site rondoniaovivo.com,1000,2177652
4,ACIR GURGACZ,divulgação da atividade parlamentar,41.845.127/0001-99,J. J. M. CALADO EIRELI,30,2022-04-01,despesa com divulgação da atividade parlamentar,1000,2177650
4,ACIR GURGACZ,divulgação da atividade parlamentar,08.941.827/0001-01,RONDONIA DINÂMICA COM. E SERV. DE INFORMÁTICA LTDA,000000000001837/A,2022-04-04,despesa com divulgação da atividade parlamentar,1000,2177658
4,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",34.274.233/0112-10,VIBRA ENERGIA S.A.,000109908,2022-04-26,despesa com aquisição de combustível para abastecimento de aeronave,"16448,4",2179387
4,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.707.538/0001-20,YURI COMÉRCIO DE COMBUSTÍVEIS LTDA,000.012.272,2022-04-04,despesa com aquisição de combustível para abastecimento de aeronave,15150,2177665
4,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.707.538/0001-20,YURI COMÉRCIO DE COMBUSTÍVEIS LTDA,000.012.331,2022-04-30,despesa com aquisição de combustíveis para abastecimento de aeronave,"11130,2",2181277
4,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,GFDRDJ,2022-04-01,"companhia aérea: azul, localizador: gfdrdj. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3739 - igubsb - 03/04/2022;","2175,45",2177654
4,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,MJYBZN,2022-04-04,"companhia aérea: latam, localizador: mjybzn. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3255 - bsbgru - 08/04/2022;","3500,32",2178313
4,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,JDJPES,2022-04-10,"companhia aérea: azul, localizador: jdjpes. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3260 - grubsb - 11/04/2022;",3890,2178314
4,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,EYZIWG,2022-04-12,"companhia aérea: latam, localizador: eyziwg. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3724 - bsbcwb - 14/04/2022;",3385,2179379
4,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,JICRUF,2022-04-13,"companhia aérea: latam, localizador: jicruf. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3725 - cwbbsb - 18/04/2022;",3585,2179381
4,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,MMYKCB,2022-04-14,"companhia aérea: latam, localizador: mmykcb. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3770 - bsbpvh - 19/04/2022;","1024,22",2181276
4,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,ILB4YN,2022-04-19,"companhia aérea: azul, localizador: ilb4yn. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4864 - vcpigu - 20/04/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 2755 - bsbvcp - 20/04/2022;",2910,2179784
5,ACIR GURGACZ,"aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.",004.948.028-63,GILBERTO PISELO DO NASCIMENTO,005/22,2022-05-02,despesa com pagamento de aluguel de imóvel para uso do escritório político do senador acir gurgacz em ji-paraná/ro.,6000,2179390
5,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.010.040/0025-81,PIONEIRO COMBUSTIVEIS LTDA,000001208,2022-05-05,despesa com aquisição de combustível para abastecimento de aeronave,"4851,6",2181279
5,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.707.538/0001-20,YURI COMÉRCIO DE COMBUSTÍVEIS LTDA,000.012.342,2022-05-06,despesa com aquisição de combustível para abastecimento de aeronave,2840,2181281
5,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.707.538/0001-20,YURI COMÉRCIO DE COMBUSTÍVEIS LTDA,000.012.359,2022-05-09,despesa com aquisição de combustível para abastecimento de aeronave,4260,2181284
5,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,HDGHGA,2022-05-04,"companhia aérea: latam, localizador: hdghga. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3770 - bsbpvh - 05/05/2022;",2980,2181278
5,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,ASPYOZ,2022-05-06,"companhia aérea: latam, localizador: aspyoz. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3771 - pvhbsb - 10/05/2022;","2391,86",2181283
5,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,LMYZ9X,2022-05-09,"companhia aérea: azul, localizador: lmyz9x. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 2940 - cgbbsb - 16/05/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4681 - jprcgb - 16/05/2022;",2050,2181293
5,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,KDQK6S,2022-05-09,"companhia aérea: azul, localizador: kdqk6s. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4680 - cgbjpr - 13/05/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4838 - bsbcgb - 13/05/2022;",2445,2181286
5,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,ZNIEMX,2022-05-10,"companhia aérea: azul, localizador: zniemx. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4681 - jprcgb - 27/05/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4233 - cwbigu - 27/05/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4086 - cgbcwb - 27/05/2022;",3647,2183077
5,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,VKVEMQ,2022-05-26,"companhia aérea: azul, localizador: vkvemq. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4978 - vcpbsb - 31/05/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4728 - cacvcp - 31/05/2022;",4214,2183092
6,ACIR GURGACZ,"aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.",004.948.028-63,GILBERTO PISELO DO NASCIMENTO,006/22,2022-06-02,despesa com pagamento de aluguel de imóvel para uso do escritório de apoio do senador acir gurgacz em ji-paraná,6000,2183078
6,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.010.040/0025-81,PIONEIRO COMBUSTIVEIS LTDA,000001258,2022-06-26,despesa com aquisição de combustível para abastecimento de aeronave,3440,2183087
6,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,FGIDKW,2022-06-08,"companhia aérea: latam, localizador: fgidkw. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3770 - bsbpvh - 14/06/2022;","3332,02",2183079
6,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,MEMCWF,2022-06-15,"companhia aérea: azul, localizador: memcwf. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 2940 - cgbbsb - 20/06/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4681 - jprcgb - 20/06/2022;",2494,2183082
6,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,XHPGMM,2022-06-24,"companhia aérea: azul, localizador: xhpgmm. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4548 - vcpbsb - 27/06/2022;",2975,2183085
6,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,EBMF7Y,2022-06-24,"companhia aérea: azul, localizador: ebmf7y. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4395 - bsbvcp - 26/06/2022;",3025,2183083
6,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,QEFJXJ,2022-06-30,"companhia aérea: latam, localizador: qefjxj. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3738 - bsbigu - 01/07/2022;",3370,2184807
7,ACIR GURGACZ,"aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.",004.948.028-63,GILBERTO PISELO DO NASCIMENTO,007/22,2022-07-04,despesa com aluguel de imóvel para uso do escritório de apoio do senador acir gurgacz em ji-paraná/ro.,6000,2184786
7,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.707.538/0001-20,YURI COMÉRCIO DE COMBUSTÍVEIS LTDA,000.012.462,2022-07-11,despesa com aquisição de combustível para abastecimento de aeronave,7650,2184788
7,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.707.538/0001-20,YURI COMÉRCIO DE COMBUSTÍVEIS LTDA,000.012.489,2022-07-31,despesa com aquisição de combustível para abastecimento de aeronave,1020,2187611
7,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,YUZUWT,2022-07-01,"companhia aérea: latam, localizador: yuzuwt. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3739 - igubsb - 03/07/2022;",2545,2184033
7,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,JOPWDD,2022-07-07,"companhia aérea: latam, localizador: jopwdd. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3738 - bsbigu - 09/07/2022;",2250,2184787
7,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,RIFNTJ,2022-07-09,"companhia aérea: azul, localizador: rifntj. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4978 - vcpbsb - 11/07/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4728 - cacvcp - 11/07/2022;",3975,2184034
7,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,ULKECS,2022-07-14,"companhia aérea: latam, localizador: ulkecs. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3580 - grucac - 15/07/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3255 - bsbgru - 15/07/2022;",2110,2184790
7,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,YFE1FS,2022-07-14,"companhia aérea: azul, localizador: yfe1fs. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4745 - vcpbsb - 18/07/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 4587 - cacvcp - 18/07/2022;",4040,2184793
7,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,YURGKP,2022-07-25,"companhia aérea: latam, localizador: yurgkp. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3739 - igubsb - 31/07/2022;",2510,2184794
8,ACIR GURGACZ,"aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.",004.948.028-63,GILBERTO PISELO DO NASCIMENTO,008/22,2022-08-01,despesa com aluguel de imóvel para uso do escritório de apoio do senador acir gurgacz em ji-paraná/ro,6000,2184801
8,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.010.040/0025-81,PIONEIRO COMBUSTIVEIS LTDA,000001312,2022-08-19,despesa com aquisição de combustível para abastecimento de aeronave,"5297,4",2186193
8,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.010.040/0025-81,PIONEIRO COMBUSTIVEIS LTDA,000001345,2022-08-31,despesa com aquisição de combustível para abastecimento de aeronave,4860,2187623
8,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.707.538/0001-20,YURI COMÉRCIO DE COMBUSTÍVEIS LTDA,000.012.518,2022-08-17,despesa com aquisição de combustível para abastecimento de aeronave,3240,2186191
8,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.707.538/0001-20,YURI COMÉRCIO DE COMBUSTÍVEIS LTDA,000.012.537,2022-08-26,despesa com aquisição de combustível para abastecimento de aeronave,3240,2186198
8,ACIR GURGACZ,"locomoção, hospedagem, alimentação, combustíveis e lubrificantes",84.707.538/0001-20,YURI COMÉRCIO DE COMBUSTÍVEIS LTDA,000.012.551,2022-08-31,despesa com aquisição de combustível para abastecimento de aeronave,2268,2187622
8,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,HNTNIQ,2022-08-01,"companhia aérea: latam, localizador: hntniq. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3770 - bsbpvh - 04/08/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3725 - cwbbsb - 04/08/2022;",3610,2186186
8,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,SMOONN,2022-08-03,"companhia aérea: latam, localizador: smoonn. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3722 - bsbcwb - 03/08/2022;",2940,2187618
8,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,RRVMMP,2022-08-09,"companhia aérea: latam, localizador: rrvmmp. passageiros: renilson tavares de almeida (matrícula 339067, comissionado), voo: 3770 - bsbpvh - 10/08/2022;",3290,2187619
8,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,RGBENP,2022-08-10,"companhia aérea: azul, localizador: rgbenp. passageiros: jose luiz raymundo (matrícula 140986, comissionado), voo: 5007 - vcpbsb - 15/08/2022; jose luiz raymundo (matrícula 140986, comissionado), voo: 2815 - cwbvcp - 15/08/2022;",1730,2186188
8,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,MG7I6M,2022-08-10,"companhia aérea: azul, localizador: mg7i6m. passageiros: guarim liberato martins júnior (matrícula 238202, comissionado), voo: 4680 - cgbjpr - 15/08/2022; guarim liberato martins júnior (matrícula 238202, comissionado), voo: 4838 - bsbcgb - 15/08/2022;",3250,2187612
8,ACIR GURGACZ,"passagens aéreas, aquáticas e terrestres nacionais",17.872.428/0001-27,AMERICA VIAGENS E TURISMO LTDA - ME,YJLHAT,2022-08-15,"companhia aérea: latam, localizador: yjlhat. passageiros: acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3749 - maobsb - 16/08/2022; acir marcos gurgacz (matrícula 225736, parlamentar), voo: 3867 - pvhmao - 16/08/2022;",3610,2186189
